epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,8291.02,0.40772,0.45201,0.93442,0.86518,0.9375,0.92981,0.85979,0.38608,0.68464,0.88257,0.00026422,0.00026422,0.00026422
87,8368.32,0.36941,0.44275,0.90397,0.88837,0.86955,0.92532,0.86758,0.37318,0.6797,0.88135,0.000247716,0.000247716,0.000247716
88,8444.96,0.36962,0.43924,0.90398,0.89206,0.87101,0.92698,0.88163,0.37756,0.67754,0.88185,0.000231213,0.000231213,0.000231213
89,8520.68,0.40605,0.47841,0.93681,0.89502,0.87217,0.92698,0.87763,0.39201,0.69448,0.89615,0.00021471,0.00021471,0.00021471
90,8596.43,0.37658,0.42122,0.8992,0.89212,0.86967,0.92698,0.86904,0.38724,0.70586,0.89542,0.000198206,0.000198206,0.000198206
91,8683.96,0.25815,0.41437,0.87353,0.98514,0.80309,0.92177,0.87138,0.39365,0.73788,0.91245,0.000181703,0.000181703,0.000181703
92,8795.94,0.2397,0.38186,0.83139,0.98089,0.80955,0.92278,0.8724,0.39454,0.75536,0.91151,0.0001652,0.0001652,0.0001652
93,8917.8,0.23834,0.37935,0.82255,0.98032,0.81088,0.92568,0.87608,0.40897,0.77395,0.91767,0.000148696,0.000148696,0.000148696
94,9049.38,0.23624,0.37833,0.8115,0.99477,0.80656,0.92809,0.86148,0.41853,0.8172,0.92541,0.000132193,0.000132193,0.000132193
95,9176.74,0.24962,0.3791,0.81427,0.98413,0.80654,0.92137,0.85485,0.41438,0.81409,0.91997,0.00011569,0.00011569,0.00011569
96,9305.49,0.24251,0.36899,0.8334,0.98007,0.8125,0.91888,0.84312,0.40511,0.79764,0.91582,9.91865e-05,9.91865e-05,9.91865e-05
97,9429.64,0.22623,0.35431,0.81143,0.97907,0.8125,0.92232,0.8631,0.39899,0.80434,0.91634,8.26832e-05,8.26832e-05,8.26832e-05
98,9565.08,0.2299,0.35953,0.80539,0.97838,0.80927,0.93134,0.87137,0.39516,0.7918,0.91108,6.61799e-05,6.61799e-05,6.61799e-05
99,9695.96,0.22887,0.34407,0.82512,0.97867,0.81166,0.93398,0.87613,0.39481,0.78006,0.90892,4.96766e-05,4.96766e-05,4.96766e-05
100,9819.6,0.21819,0.35955,0.82586,0.97742,0.8125,0.93398,0.87923,0.39495,0.76799,0.9096,3.31733e-05,3.31733e-05,3.31733e-05
